[4;33mReloaded modules[24m: Models, CustomOptimizers[0m
Versione tensorfolow: 2.1.0

SGD-HD, alpha_0=0.1, beta= 0.0001 (MNIST).
Epoch 1, Loss: 0.37145, Accuracy: 89.16, Test Loss: 0.29339, Test Accuracy: 91.52, Time:   6.0s
Epoch 2, Loss: 0.30253, Accuracy: 91.36, Test Loss: 0.28101, Test Accuracy: 91.89, Time:   6.0s
Epoch 3, Loss: 0.28995, Accuracy: 91.73, Test Loss: 0.28384, Test Accuracy: 91.83, Time:   6.1s
Epoch 4, Loss: 0.28419, Accuracy: 91.95, Test Loss: 0.27745, Test Accuracy: 91.86, Time:   6.0s
Epoch 5, Loss: 0.27982, Accuracy: 92.07, Test Loss: 0.28451, Test Accuracy: 92.09, Time:   6.0s
Epoch 6, Loss: 0.27583, Accuracy: 92.3, Test Loss: 0.27874, Test Accuracy: 92.02, Time:   7.6s
Epoch 7, Loss: 0.27277, Accuracy: 92.3, Test Loss: 0.27538, Test Accuracy: 92.25, Time:   7.2s
Epoch 8, Loss: 0.2708, Accuracy: 92.39, Test Loss: 0.29682, Test Accuracy: 91.75, Time:   7.0s
Epoch 9, Loss: 0.26961, Accuracy: 92.43, Test Loss: 0.2885, Test Accuracy: 91.72, Time:   6.3s
Epoch 10, Loss: 0.2666, Accuracy: 92.48, Test Loss: 0.27598, Test Accuracy: 92.07, Time:   6.1s
Epoch 11, Loss: 0.26571, Accuracy: 92.58, Test Loss: 0.27214, Test Accuracy: 92.48, Time:   6.4s
Epoch 12, Loss: 0.26499, Accuracy: 92.56, Test Loss: 0.28868, Test Accuracy: 91.55, Time:   6.3s
Epoch 13, Loss: 0.26393, Accuracy: 92.63, Test Loss: 0.28528, Test Accuracy: 91.94, Time:   6.0s
Epoch 14, Loss: 0.26304, Accuracy: 92.61, Test Loss: 0.27806, Test Accuracy: 92.21, Time:   6.2s
Epoch 15, Loss: 0.26117, Accuracy: 92.68, Test Loss: 0.2781, Test Accuracy: 92.28, Time:   6.3s
Epoch 16, Loss: 0.26139, Accuracy: 92.65, Test Loss: 0.27488, Test Accuracy: 92.38, Time:   6.4s
Epoch 17, Loss: 0.26107, Accuracy: 92.74, Test Loss: 0.28093, Test Accuracy: 92.14, Time:   6.2s
Epoch 18, Loss: 0.25987, Accuracy: 92.67, Test Loss: 0.27497, Test Accuracy: 92.36, Time:   6.0s
Epoch 19, Loss: 0.2596, Accuracy: 92.79, Test Loss: 0.29471, Test Accuracy: 92.01, Time:   6.0s
Epoch 20, Loss: 0.25863, Accuracy: 92.82, Test Loss: 0.27424, Test Accuracy: 92.34, Time:   6.1s
Epoch 21, Loss: 0.25762, Accuracy: 92.8, Test Loss: 0.27949, Test Accuracy: 92.28, Time:   6.3s
Epoch 22, Loss: 0.25697, Accuracy: 92.8, Test Loss: 0.28775, Test Accuracy: 91.87, Time:   6.1s
Epoch 23, Loss: 0.25667, Accuracy: 92.91, Test Loss: 0.29554, Test Accuracy: 91.9, Time:   6.0s
Epoch 24, Loss: 0.25663, Accuracy: 92.81, Test Loss: 0.27279, Test Accuracy: 92.56, Time:   6.1s
Epoch 25, Loss: 0.25557, Accuracy: 92.83, Test Loss: 0.28314, Test Accuracy: 91.93, Time:   6.4s
Epoch 26, Loss: 0.25428, Accuracy: 92.9, Test Loss: 0.27717, Test Accuracy: 92.29, Time:   6.1s
Epoch 27, Loss: 0.25501, Accuracy: 92.8, Test Loss: 0.27882, Test Accuracy: 92.3, Time:   6.3s
Epoch 28, Loss: 0.25363, Accuracy: 92.83, Test Loss: 0.28421, Test Accuracy: 92.16, Time:   6.1s
Epoch 29, Loss: 0.25464, Accuracy: 92.9, Test Loss: 0.27707, Test Accuracy: 92.45, Time:   6.2s
Epoch 30, Loss: 0.25328, Accuracy: 92.92, Test Loss: 0.27951, Test Accuracy: 92.27, Time:   6.2s
Epoch 31, Loss: 0.2531, Accuracy: 92.93, Test Loss: 0.285, Test Accuracy: 92.53, Time:   6.0s
Epoch 32, Loss: 0.25275, Accuracy: 92.89, Test Loss: 0.28983, Test Accuracy: 91.67, Time:   6.0s
Epoch 33, Loss: 0.25363, Accuracy: 92.89, Test Loss: 0.28597, Test Accuracy: 92.02, Time:   6.2s
Epoch 34, Loss: 0.25308, Accuracy: 92.89, Test Loss: 0.28188, Test Accuracy: 92.04, Time:   6.1s
Epoch 35, Loss: 0.25164, Accuracy: 92.92, Test Loss: 0.27876, Test Accuracy: 92.37, Time:   6.2s
Epoch 36, Loss: 0.25236, Accuracy: 92.93, Test Loss: 0.28554, Test Accuracy: 92.43, Time:   6.3s
Epoch 37, Loss: 0.25256, Accuracy: 92.89, Test Loss: 0.29261, Test Accuracy: 91.44, Time:   6.8s
Epoch 38, Loss: 0.25052, Accuracy: 92.9, Test Loss: 0.28213, Test Accuracy: 92.16, Time:   6.2s
Epoch 39, Loss: 0.25113, Accuracy: 92.95, Test Loss: 0.27668, Test Accuracy: 92.64, Time:   6.2s
Epoch 40, Loss: 0.25039, Accuracy: 92.97, Test Loss: 0.27692, Test Accuracy: 92.56, Time:   6.3s
Epoch 41, Loss: 0.25154, Accuracy: 92.91, Test Loss: 0.2811, Test Accuracy: 92.36, Time:   6.0s
Epoch 42, Loss: 0.25128, Accuracy: 92.95, Test Loss: 0.28043, Test Accuracy: 92.31, Time:   6.0s
Epoch 43, Loss: 0.25114, Accuracy: 92.95, Test Loss: 0.27843, Test Accuracy: 92.31, Time:   6.0s
Epoch 44, Loss: 0.25045, Accuracy: 92.97, Test Loss: 0.27264, Test Accuracy: 92.48, Time:   6.1s
Epoch 45, Loss: 0.25051, Accuracy: 92.95, Test Loss: 0.28155, Test Accuracy: 92.18, Time:   6.3s
Epoch 46, Loss: 0.24982, Accuracy: 93.02, Test Loss: 0.28491, Test Accuracy: 92.38, Time:   6.2s
Epoch 47, Loss: 0.25015, Accuracy: 92.96, Test Loss: 0.28294, Test Accuracy: 92.04, Time:   6.4s
Epoch 48, Loss: 0.249, Accuracy: 92.98, Test Loss: 0.27622, Test Accuracy: 92.42, Time:   6.3s
Epoch 49, Loss: 0.2493, Accuracy: 92.97, Test Loss: 0.27567, Test Accuracy: 92.48, Time:   6.3s
Epoch 50, Loss: 0.24901, Accuracy: 93.01, Test Loss: 0.28265, Test Accuracy: 92.22, Time:   6.2s

SGD-HD, alpha_0=0.01, beta= 0.0001 (MNIST).
Epoch 1, Loss: 0.48195, Accuracy: 86.83, Test Loss: 0.33146, Test Accuracy: 90.77, Time:   7.1s
Epoch 2, Loss: 0.33459, Accuracy: 90.53, Test Loss: 0.30324, Test Accuracy: 91.38, Time:   7.1s
Epoch 3, Loss: 0.3137, Accuracy: 91.17, Test Loss: 0.2933, Test Accuracy: 91.76, Time:   7.1s
Epoch 4, Loss: 0.3029, Accuracy: 91.43, Test Loss: 0.28776, Test Accuracy: 91.88, Time:   7.0s
Epoch 5, Loss: 0.29575, Accuracy: 91.61, Test Loss: 0.28546, Test Accuracy: 91.93, Time:   7.1s
Epoch 6, Loss: 0.29077, Accuracy: 91.79, Test Loss: 0.28073, Test Accuracy: 92.08, Time:   7.6s
Epoch 7, Loss: 0.28676, Accuracy: 91.88, Test Loss: 0.27749, Test Accuracy: 92.14, Time:   7.0s
Epoch 8, Loss: 0.28391, Accuracy: 92.05, Test Loss: 0.27925, Test Accuracy: 92.21, Time:   7.2s
Epoch 9, Loss: 0.28141, Accuracy: 92.11, Test Loss: 0.27653, Test Accuracy: 92.24, Time:   7.2s
