Versione tensorfolow: 2.1.0

Adam-HD, alpha_0=0.1, beta= 10^-4 (MNIST).
Epoch 1, Loss: 0.84689, Accuracy: 88.89, Test Loss: 0.41806, Test Accuracy: 90.89, Time:   5.2s
Epoch 2, Loss: 0.34946, Accuracy: 91.49, Test Loss: 0.32049, Test Accuracy: 91.73, Time:   5.0s
Epoch 3, Loss: 0.30227, Accuracy: 92.03, Test Loss: 0.31777, Test Accuracy: 91.48, Time:   5.0s
Epoch 4, Loss: 0.28328, Accuracy: 92.24, Test Loss: 0.2924, Test Accuracy: 92.14, Time:   4.9s
Epoch 5, Loss: 0.2743, Accuracy: 92.43, Test Loss: 0.2885, Test Accuracy: 92.31, Time:   5.0s
Epoch 6, Loss: 0.26958, Accuracy: 92.55, Test Loss: 0.28361, Test Accuracy: 92.08, Time:   4.9s
Epoch 7, Loss: 0.26433, Accuracy: 92.72, Test Loss: 0.28544, Test Accuracy: 92.13, Time:   4.9s
Epoch 8, Loss: 0.2615, Accuracy: 92.75, Test Loss: 0.28075, Test Accuracy: 92.28, Time:   4.9s
Epoch 9, Loss: 0.25739, Accuracy: 92.84, Test Loss: 0.2913, Test Accuracy: 92.25, Time:   4.9s
Epoch 10, Loss: 0.25668, Accuracy: 92.78, Test Loss: 0.28187, Test Accuracy: 92.14, Time:   4.9s
Epoch 11, Loss: 0.25622, Accuracy: 92.79, Test Loss: 0.27953, Test Accuracy: 92.17, Time:   4.9s
Epoch 12, Loss: 0.25348, Accuracy: 92.92, Test Loss: 0.28442, Test Accuracy: 92.15, Time:   5.1s
Epoch 13, Loss: 0.25203, Accuracy: 92.97, Test Loss: 0.28113, Test Accuracy: 92.11, Time:   5.2s
Epoch 14, Loss: 0.25037, Accuracy: 93.02, Test Loss: 0.27217, Test Accuracy: 92.57, Time:   5.3s
Epoch 15, Loss: 0.24921, Accuracy: 93.01, Test Loss: 0.27591, Test Accuracy: 92.45, Time:   5.3s
Epoch 16, Loss: 0.2497, Accuracy: 93.04, Test Loss: 0.27588, Test Accuracy: 92.3, Time:   5.2s
Epoch 17, Loss: 0.2484, Accuracy: 93.03, Test Loss: 0.27497, Test Accuracy: 92.54, Time:   5.3s
Epoch 18, Loss: 0.24723, Accuracy: 93.02, Test Loss: 0.27716, Test Accuracy: 92.4, Time:   5.9s
Epoch 19, Loss: 0.24662, Accuracy: 93.11, Test Loss: 0.27447, Test Accuracy: 92.36, Time:   6.7s
Epoch 20, Loss: 0.24524, Accuracy: 93.12, Test Loss: 0.27452, Test Accuracy: 92.47, Time:   5.8s
Epoch 21, Loss: 0.24589, Accuracy: 93.1, Test Loss: 0.27161, Test Accuracy: 92.7, Time:   6.1s
Epoch 22, Loss: 0.24347, Accuracy: 93.3, Test Loss: 0.28223, Test Accuracy: 91.91, Time:   5.5s
Epoch 23, Loss: 0.24432, Accuracy: 93.15, Test Loss: 0.27541, Test Accuracy: 92.58, Time:   5.6s
Epoch 24, Loss: 0.24234, Accuracy: 93.28, Test Loss: 0.27205, Test Accuracy: 92.44, Time:   5.6s
Epoch 25, Loss: 0.24285, Accuracy: 93.25, Test Loss: 0.28538, Test Accuracy: 92.31, Time:   5.6s
Epoch 26, Loss: 0.24218, Accuracy: 93.23, Test Loss: 0.27701, Test Accuracy: 92.51, Time:   5.7s
Epoch 27, Loss: 0.24184, Accuracy: 93.29, Test Loss: 0.27072, Test Accuracy: 92.51, Time:   5.6s
Epoch 28, Loss: 0.24129, Accuracy: 93.25, Test Loss: 0.27718, Test Accuracy: 92.11, Time:   5.7s
Epoch 29, Loss: 0.24123, Accuracy: 93.26, Test Loss: 0.26997, Test Accuracy: 92.5, Time:   5.6s
Epoch 30, Loss: 0.23974, Accuracy: 93.33, Test Loss: 0.27655, Test Accuracy: 92.21, Time:   5.7s
Epoch 31, Loss: 0.24018, Accuracy: 93.25, Test Loss: 0.27307, Test Accuracy: 92.34, Time:   5.8s
Epoch 32, Loss: 0.23945, Accuracy: 93.3, Test Loss: 0.27194, Test Accuracy: 92.45, Time:   5.8s
Epoch 33, Loss: 0.23962, Accuracy: 93.3, Test Loss: 0.27081, Test Accuracy: 92.65, Time:   5.9s
Epoch 34, Loss: 0.23895, Accuracy: 93.44, Test Loss: 0.2716, Test Accuracy: 92.51, Time:   5.7s
Epoch 35, Loss: 0.23982, Accuracy: 93.32, Test Loss: 0.27036, Test Accuracy: 92.65, Time:   5.7s
Epoch 36, Loss: 0.23866, Accuracy: 93.34, Test Loss: 0.27261, Test Accuracy: 92.55, Time:   5.7s
Epoch 37, Loss: 0.23877, Accuracy: 93.27, Test Loss: 0.27244, Test Accuracy: 92.62, Time:   5.7s
Epoch 38, Loss: 0.2388, Accuracy: 93.39, Test Loss: 0.26912, Test Accuracy: 92.49, Time:   5.7s
Epoch 39, Loss: 0.23852, Accuracy: 93.31, Test Loss: 0.27283, Test Accuracy: 92.48, Time:   5.7s
Epoch 40, Loss: 0.23854, Accuracy: 93.36, Test Loss: 0.27345, Test Accuracy: 92.46, Time:   5.8s
Epoch 41, Loss: 0.23722, Accuracy: 93.39, Test Loss: 0.27466, Test Accuracy: 92.49, Time:   5.7s
Epoch 42, Loss: 0.23779, Accuracy: 93.43, Test Loss: 0.27539, Test Accuracy: 92.4, Time:   5.7s
Epoch 43, Loss: 0.23741, Accuracy: 93.36, Test Loss: 0.27431, Test Accuracy: 92.51, Time:   5.7s
Epoch 44, Loss: 0.23652, Accuracy: 93.41, Test Loss: 0.27574, Test Accuracy: 92.39, Time:   6.1s
Epoch 45, Loss: 0.23694, Accuracy: 93.41, Test Loss: 0.27501, Test Accuracy: 92.46, Time:   6.2s
Epoch 46, Loss: 0.23652, Accuracy: 93.4, Test Loss: 0.26983, Test Accuracy: 92.7, Time:   6.0s
Epoch 47, Loss: 0.23591, Accuracy: 93.43, Test Loss: 0.27638, Test Accuracy: 92.26, Time:   6.1s
Epoch 48, Loss: 0.23644, Accuracy: 93.4, Test Loss: 0.27232, Test Accuracy: 92.56, Time:   6.5s
Epoch 49, Loss: 0.23608, Accuracy: 93.42, Test Loss: 0.27097, Test Accuracy: 92.6, Time:   8.6s
Epoch 50, Loss: 0.236, Accuracy: 93.37, Test Loss: 0.27283, Test Accuracy: 92.7, Time:   9.6s

Adam-HD, alpha_0=0.01, beta= 10^-4 (MNIST).
Epoch 1, Loss: 0.35352, Accuracy: 89.9, Test Loss: 0.28942, Test Accuracy: 91.59, Time:   10.2s
